"Datum";"Zeit";"Erï¿½ffnung";"Hoch";"Tief";"Schluss";"Volumen"
"12.03.2019";"12:00";"131,90";"132,15";"131,90";"132,15";"2.812,00"
"12.03.2019";"11:56";"132,20";"132,20";"131,90";"131,90";"2.934,00"
"12.03.2019";"11:50";"132,35";"132,40";"132,05";"132,10";"4.336,00"
"12.03.2019";"11:45";"132,60";"132,90";"132,15";"132,25";"5.150,00"
"12.03.2019";"11:40";"132,45";"132,80";"132,30";"132,50";"12.534,00"
"12.03.2019";"11:35";"132,10";"132,40";"131,85";"132,40";"6.259,00"
"12.03.2019";"11:30";"131,65";"132,10";"131,55";"132,10";"3.864,00"
"12.03.2019";"11:25";"131,30";"131,70";"131,05";"131,60";"5.114,00"
"12.03.2019";"11:20";"131,40";"131,45";"131,20";"131,30";"2.360,00"
"12.03.2019";"11:15";"131,40";"131,45";"131,30";"131,45";"2.612,00"
"12.03.2019";"11:10";"131,40";"131,50";"131,20";"131,30";"5.335,00"
"12.03.2019";"11:05";"131,25";"131,50";"131,10";"131,40";"7.466,00"
"12.03.2019";"11:00";"131,55";"131,60";"131,00";"131,40";"9.178,00"
"12.03.2019";"10:55";"131,30";"132,00";"131,25";"131,55";"13.517,00"
"12.03.2019";"10:50";"131,10";"131,40";"131,10";"131,25";"1.943,00"
"12.03.2019";"10:45";"131,35";"131,50";"131,10";"131,10";"7.946,00"
"12.03.2019";"10:40";"130,85";"131,50";"130,85";"131,40";"8.906,00"
"12.03.2019";"10:35";"131,70";"131,75";"130,65";"130,90";"20.949,00"
"12.03.2019";"10:30";"132,00";"132,00";"131,35";"131,60";"10.563,00"
"12.03.2019";"10:25";"131,65";"132,00";"131,50";"131,95";"11.046,00"
"12.03.2019";"10:20";"131,95";"132,05";"131,60";"131,80";"10.400,00"
"12.03.2019";"10:15";"132,25";"132,60";"131,70";"132,05";"6.774,00"
"12.03.2019";"10:10";"132,70";"132,75";"132,15";"132,25";"3.677,00"
"12.03.2019";"10:05";"132,30";"133,00";"132,30";"132,75";"26.462,00"
"12.03.2019";"10:00";"130,90";"132,35";"130,80";"132,15";"39.968,00"
"12.03.2019";"09:55";"131,90";"132,00";"130,30";"130,90";"39.933,00"
"12.03.2019";"09:50";"132,85";"133,00";"131,75";"131,85";"8.996,00"
"12.03.2019";"09:45";"133,35";"133,70";"131,25";"133,00";"39.129,00"
"12.03.2019";"09:40";"134,15";"134,25";"133,25";"133,35";"12.494,00"
"12.03.2019";"09:35";"133,95";"134,65";"133,85";"134,15";"22.417,00"
"12.03.2019";"09:30";"134,35";"134,60";"133,85";"133,85";"16.151,00"
"12.03.2019";"09:25";"134,15";"134,85";"133,90";"134,25";"29.866,00"
"12.03.2019";"09:20";"135,10";"135,35";"133,60";"134,15";"55.981,00"
"12.03.2019";"09:15";"136,05";"136,40";"135,10";"135,10";"24.546,00"
"12.03.2019";"09:10";"135,45";"136,40";"135,25";"136,20";"23.462,00"
"12.03.2019";"09:05";"136,40";"136,40";"135,05";"135,55";"19.532,00"
"12.03.2019";"09:00";"135,00";"136,50";"134,70";"136,50";"70.897,00"
"11.03.2019";"17:35";"133,35";"133,35";"133,35";"133,35";"144.364,00"
"11.03.2019";"17:25";"131,50";"131,80";"131,45";"131,65";"12.462,00"
"11.03.2019";"17:20";"131,50";"131,65";"131,25";"131,45";"13.899,00"
"11.03.2019";"17:15";"131,40";"131,50";"131,15";"131,50";"7.430,00"
"11.03.2019";"17:10";"131,20";"131,45";"131,05";"131,35";"9.089,00"
"11.03.2019";"17:05";"131,15";"131,80";"131,05";"131,25";"11.886,00"
"11.03.2019";"17:00";"132,15";"132,20";"129,50";"131,15";"65.253,00"
"11.03.2019";"16:55";"132,35";"132,45";"132,15";"132,15";"9.935,00"
"11.03.2019";"16:50";"132,20";"132,50";"132,20";"132,30";"6.215,00"
"11.03.2019";"16:45";"132,55";"132,65";"132,15";"132,20";"9.799,00"
"11.03.2019";"16:40";"132,65";"132,75";"132,30";"132,55";"8.206,00"
"11.03.2019";"16:35";"132,80";"132,80";"132,60";"132,70";"3.745,00"
"11.03.2019";"16:30";"132,65";"133,00";"132,65";"132,70";"13.497,00"
"11.03.2019";"16:25";"132,70";"132,70";"132,45";"132,60";"20.483,00"
"11.03.2019";"16:20";"132,45";"132,70";"132,45";"132,70";"7.613,00"
"11.03.2019";"16:15";"132,60";"132,70";"132,20";"132,40";"5.919,00"
"11.03.2019";"16:10";"132,20";"132,80";"132,15";"132,55";"8.114,00"
"11.03.2019";"16:05";"132,50";"132,50";"132,15";"132,15";"5.382,00"
"11.03.2019";"16:00";"132,65";"132,90";"132,00";"132,45";"12.843,00"
"11.03.2019";"15:55";"132,45";"132,70";"132,20";"132,65";"8.162,00"
"11.03.2019";"15:50";"132,85";"132,90";"132,30";"132,45";"10.117,00"
"11.03.2019";"15:45";"133,20";"133,20";"132,70";"132,70";"11.496,00"
"11.03.2019";"15:40";"132,75";"133,25";"132,70";"133,20";"19.449,00"
"11.03.2019";"15:35";"133,00";"133,05";"132,35";"132,80";"15.632,00"
"11.03.2019";"15:30";"132,90";"133,30";"132,75";"133,00";"26.056,00"
"11.03.2019";"15:25";"132,80";"132,90";"132,50";"132,90";"10.648,00"
"11.03.2019";"15:20";"132,40";"132,85";"132,30";"132,85";"16.752,00"
"11.03.2019";"15:15";"132,05";"132,50";"131,90";"132,45";"15.379,00"
"11.03.2019";"15:10";"131,90";"132,10";"131,65";"132,05";"5.264,00"
"11.03.2019";"15:05";"131,90";"132,20";"131,75";"132,05";"8.688,00"
"11.03.2019";"15:00";"131,45";"132,15";"131,45";"131,90";"10.955,00"
"11.03.2019";"14:55";"131,80";"131,95";"131,45";"131,45";"6.200,00"
"11.03.2019";"14:50";"131,30";"131,90";"131,30";"131,80";"17.704,00"
"11.03.2019";"14:45";"131,40";"131,40";"131,25";"131,35";"2.166,00"
"11.03.2019";"14:40";"131,25";"131,55";"131,25";"131,25";"9.105,00"
"11.03.2019";"14:35";"131,20";"131,25";"131,10";"131,25";"4.410,00"
"11.03.2019";"14:30";"131,15";"131,25";"131,05";"131,10";"7.034,00"
"11.03.2019";"14:25";"131,15";"131,20";"131,05";"131,15";"3.762,00"
"11.03.2019";"14:20";"131,05";"131,20";"130,95";"131,10";"6.001,00"
"11.03.2019";"14:15";"130,95";"131,30";"130,85";"131,15";"6.225,00"
"11.03.2019";"14:10";"130,90";"130,95";"130,80";"130,95";"1.499,00"
"11.03.2019";"14:05";"131,35";"131,45";"130,70";"130,90";"9.119,00"
"11.03.2019";"14:00";"130,95";"131,30";"130,80";"131,30";"4.052,00"
"11.03.2019";"13:55";"130,95";"131,60";"130,75";"130,95";"14.679,00"
"11.03.2019";"13:50";"130,90";"131,30";"130,75";"130,90";"10.473,00"
"11.03.2019";"13:45";"130,65";"130,95";"130,65";"130,90";"2.722,00"
"11.03.2019";"13:40";"130,70";"130,75";"130,50";"130,75";"2.903,00"
"11.03.2019";"13:35";"130,80";"130,90";"130,70";"130,70";"5.189,00"
"11.03.2019";"13:30";"130,80";"130,95";"130,70";"130,90";"2.263,00"
"11.03.2019";"13:26";"130,70";"130,90";"130,55";"130,90";"4.349,00"
"11.03.2019";"13:20";"130,25";"130,75";"130,25";"130,60";"3.489,00"
"11.03.2019";"13:15";"131,00";"131,00";"130,05";"130,10";"6.829,00"
"11.03.2019";"13:10";"130,90";"131,00";"130,65";"131,00";"2.927,00"
"11.03.2019";"13:05";"131,35";"131,35";"130,85";"130,90";"3.730,00"
"11.03.2019";"13:02";"131,05";"131,35";"131,05";"131,25";"3.099,00"
"11.03.2019";"12:55";"131,50";"131,70";"130,80";"131,00";"6.911,00"
"11.03.2019";"12:50";"131,05";"131,50";"130,70";"131,40";"7.007,00"
"11.03.2019";"12:45";"130,15";"131,35";"130,15";"131,00";"20.777,00"
"11.03.2019";"12:40";"130,15";"130,35";"130,05";"130,30";"5.230,00"
"11.03.2019";"12:35";"129,95";"130,55";"129,85";"130,25";"12.518,00"
"11.03.2019";"12:30";"131,05";"131,05";"129,65";"130,00";"15.712,00"
"11.03.2019";"12:25";"129,65";"131,25";"129,55";"131,05";"16.986,00"
"11.03.2019";"12:20";"130,00";"130,00";"129,50";"129,55";"17.655,00"